"play/step","miner_200_easy - _step","miner_200_easy - _step__MIN","miner_200_easy - _step__MAX","miner_200_easy - play/episodic_reward","miner_200_easy - play/episodic_reward__MIN","miner_200_easy - play/episodic_reward__MAX","miner_200_easy - test/episodic_reward","miner_200_easy - test/episodic_reward__MIN","miner_200_easy - test/episodic_reward__MAX"
"135984","1359","1359","1359","","","","2","2","2"
"136126","1350","1350","1350","1","1","1","","",""
"136327","1366","1366","1366","","","","0","0","0"
"137126","1360","1360","1360","2","2","2","","",""
"137327","1377","1377","1377","","","","0","0","0"
"138126","1367","1367","1367","1","1","1","","",""
"138180","1368","1368","1368","1","1","1","","",""
"138327","1387","1387","1387","","","","0","0","0"
"138365","1388","1388","1388","","","","0","0","0"
"138821","1389","1389","1389","","","","0","0","0"
"139180","1378","1378","1378","1","1","1","","",""
"139821","1398","1398","1398","","","","1","1","1"
"140180","1390","1390","1390","1","1","1","","",""
"140821","1408","1408","1408","","","","0","0","0"
"140866","1409","1409","1409","","","","1","1","1"
"141180","1399","1399","1399","0","0","0","","",""
"141590","1410","1410","1410","10","10","10","","",""
"141591","1411","1411","1411","10","10","10","","",""
"141866","1417","1417","1417","","","","0","0","0"
"142591","1418","1418","1418","0","0","0","","",""
"142621","1419","1419","1419","0","0","0","","",""
"142661","1420","1420","1420","2","2","2","","",""
"142866","1429","1429","1429","","","","0","0","0"
"143661","1430","1430","1430","0","0","0","","",""
"143799","1431","1431","1431","0","0","0","","",""
"143821","1432","1432","1432","0","0","0","","",""
"143866","1442","1442","1442","","","","0","0","0"
"144078","1433","1433","1433","0","0","0","","",""
"144087","1443","1443","1443","","","","2","2","2"
"144106","1444","1444","1444","","","","0","0","0"
"144115","1445","1445","1445","","","","0","0","0"
"145078","1446","1446","1446","0","0","0","","",""
"145115","1456","1456","1456","","","","0","0","0"
"145201","1447","1447","1447","0","0","0","","",""
"146115","1460","1460","1460","","","","2","2","2"
"146201","1457","1457","1457","0","0","0","","",""
"146263","1461","1461","1461","","","","0","0","0"
"146568","1462","1462","1462","0","0","0","","",""
"146771","1466","1466","1466","","","","1","1","1"
"147568","1467","1467","1467","0","0","0","","",""
"147771","1476","1476","1476","","","","0","0","0"
"147967","1477","1477","1477","","","","1","1","1"
"148568","1478","1478","1478","0","0","0","","",""
"148661","1479","1479","1479","0","0","0","","",""
"148967","1488","1488","1488","","","","0","0","0"
"149007","1489","1489","1489","","","","2","2","2"
"149661","1490","1490","1490","0","0","0","","",""
"150007","1498","1498","1498","","","","0","0","0"
"150603","1508","1508","1508","","","","0","0","0"
"150661","1499","1499","1499","0","0","0","","",""
"150716","1500","1500","1500","1","1","1","","",""
"150883","1501","1501","1501","0","0","0","","",""
"151603","1518","1518","1518","","","","0","0","0"
"151648","1509","1509","1509","0","0","0","","",""
"151726","1510","1510","1510","0","0","0","","",""
"151906","1519","1519","1519","","","","2","2","2"
"152726","1520","1520","1520","0","0","0","","",""
"152906","1530","1530","1530","","","","0","0","0"
"153285","1521","1521","1521","1","1","1","","",""
"153906","1540","1540","1540","","","","0","0","0"
"154149","1541","1541","1541","","","","1","1","1"
"154285","1531","1531","1531","1","1","1","","",""
"155149","1552","1552","1552","","","","0","0","0"
"155285","1542","1542","1542","1","1","1","","",""
"155392","1543","1543","1543","1","1","1","","",""
"155649","1553","1553","1553","0","0","0","","",""
"155688","1554","1554","1554","1","1","1","","",""
"155735","1555","1555","1555","0","0","0","","",""
"156149","1564","1564","1564","","","","1","1","1"
"156541","1565","1565","1565","","","","1","1","1"
"156735","1566","1566","1566","0","0","0","","",""
"156779","1574","1574","1574","","","","1","1","1"
"157735","1575","1575","1575","0","0","0","","",""
"157779","1584","1584","1584","","","","0","0","0"
"158144","1585","1585","1585","","","","2","2","2"
"158735","1586","1586","1586","0","0","0","","",""
"159144","1593","1593","1593","","","","0","0","0"
"159735","1587","1587","1587","2","2","2","","",""
"159803","1594","1594","1594","0","0","0","","",""
"160144","1603","1603","1603","","","","0","0","0"
"160173","1604","1604","1604","","","","1","1","1"
"160271","1605","1605","1605","","","","0","0","0"
"160516","1606","1606","1606","","","","1","1","1"
"160803","1607","1607","1607","0","0","0","","",""
"161293","1616","1616","1616","","","","1","1","1"
"161803","1617","1617","1617","0","0","0","","",""
"161823","1618","1618","1618","0","0","0","","",""
"161938","1619","1619","1619","2","2","2","","",""
"162293","1628","1628","1628","","","","0","0","0"
"162456","1629","1629","1629","","","","2","2","2"
"162938","1630","1630","1630","0","0","0","","",""
"162965","1631","1631","1631","0","0","0","","",""
"163456","1640","1640","1640","","","","0","0","0"
"163965","1641","1641","1641","0","0","0","","",""
"164456","1647","1647","1647","","","","0","0","0"
"164556","1648","1648","1648","","","","0","0","0"
"164731","1649","1649","1649","","","","1","1","1"
"164965","1650","1650","1650","0","0","0","","",""
"165731","1653","1653","1653","","","","0","0","0"
"165868","1654","1654","1654","","","","3","3","3"
"165965","1655","1655","1655","0","0","0","","",""
"166557","1656","1656","1656","1","1","1","","",""
"166868","1663","1663","1663","","","","0","0","0"
"167557","1664","1664","1664","0","0","0","","",""
"167665","1665","1665","1665","1","1","1","","",""
"167868","1673","1673","1673","","","","1","1","1"
"168665","1674","1674","1674","0","0","0","","",""
"168868","1683","1683","1683","","","","0","0","0"
"169402","1684","1684","1684","0","0","0","","",""
"169868","1688","1688","1688","","","","1","1","1"
"170402","1689","1689","1689","0","0","0","","",""
"170868","1698","1698","1698","","","","0","0","0"
"171402","1699","1699","1699","0","0","0","","",""
"171868","1707","1707","1707","","","","0","0","0"
"172402","1708","1708","1708","0","0","0","","",""
"172544","1709","1709","1709","0","0","0","","",""
"172868","1713","1713","1713","","","","2","2","2"
"173544","1714","1714","1714","0","0","0","","",""
"173868","1723","1723","1723","","","","0","0","0"
"174358","1724","1724","1724","1","1","1","","",""
"174428","1725","1725","1725","0","0","0","","",""
"174539","1726","1726","1726","1","1","1","","",""
"174569","1727","1727","1727","0","0","0","","",""
"174868","1736","1736","1736","","","","2","2","2"
"175569","1737","1737","1737","0","0","0","","",""
"175868","1745","1745","1745","","","","0","0","0"
"176003","1746","1746","1746","","","","2","2","2"
"176569","1747","1747","1747","2","2","2","","",""
"177003","1751","1751","1751","","","","1","1","1"
"177569","1752","1752","1752","0","0","0","","",""
"177613","1753","1753","1753","1","1","1","","",""
"178003","1762","1762","1762","","","","1","1","1"
"178613","1763","1763","1763","0","0","0","","",""
"179003","1769","1769","1769","","","","0","0","0"
"179613","1770","1770","1770","0","0","0","","",""
"180003","1779","1779","1779","","","","0","0","0"
"180613","1780","1780","1780","0","0","0","","",""
"180690","1781","1781","1781","0","0","0","","",""
"181003","1790","1790","1790","","","","1","1","1"
"181137","1791","1791","1791","","","","0","0","0"
"181690","1792","1792","1792","0","0","0","","",""
"182137","1800","1800","1800","","","","0","0","0"
"182169","1801","1801","1801","","","","1","1","1"
"182334","1806","1806","1806","","","","0","0","0"
"182690","1802","1802","1802","0","0","0","","",""
"183334","1813","1813","1813","","","","0","0","0"
"183690","1807","1807","1807","0","0","0","","",""
"184334","1823","1823","1823","","","","0","0","0"
"184690","1814","1814","1814","0","0","0","","",""
"185334","1824","1824","1824","","","","0","0","0"
"185690","1825","1825","1825","0","0","0","","",""
"186334","1834","1834","1834","","","","0","0","0"
"186690","1835","1835","1835","0","0","0","","",""
"187334","1844","1844","1844","","","","0","0","0"
"187690","1845","1845","1845","0","0","0","","",""
"188334","1853","1853","1853","","","","0","0","0"
"188690","1854","1854","1854","0","0","0","","",""
"189334","1863","1863","1863","","","","0","0","0"
"189690","1864","1864","1864","0","0","0","","",""
"189763","1865","1865","1865","1","1","1","","",""
"190096","1866","1866","1866","2","2","2","","",""
"190334","1875","1875","1875","","","","1","1","1"
"190455","1876","1876","1876","","","","0","0","0"
"191096","1877","1877","1877","0","0","0","","",""
"191455","1886","1886","1886","","","","1","1","1"
"192096","1887","1887","1887","1","1","1","","",""
"192315","1888","1888","1888","0","0","0","","",""
"192455","1897","1897","1897","","","","0","0","0"
"193315","1898","1898","1898","0","0","0","","",""
"193455","1904","1904","1904","","","","1","1","1"
"194315","1905","1905","1905","0","0","0","","",""
"194455","1911","1911","1911","","","","0","0","0"
"194606","1921","1921","1921","","","","0","0","0"
"194748","1922","1922","1922","","","","1","1","1"
"195315","1912","1912","1912","0","0","0","","",""
"195748","1933","1933","1933","","","","0","0","0"
"195943","1934","1934","1934","","","","1","1","1"
"195990","1935","1935","1935","","","","1","1","1"
"196315","1923","1923","1923","0","0","0","","",""
"196442","1924","1924","1924","1","1","1","","",""
"196684","1936","1936","1936","0","0","0","","",""
"196990","1942","1942","1942","","","","0","0","0"
"197164","1943","1943","1943","","","","0","0","0"
"197263","1944","1944","1944","","","","0","0","0"
"197684","1945","1945","1945","0","0","0","","",""
"197994","1954","1954","1954","","","","0","0","0"
"198684","1955","1955","1955","0","0","0","","",""
"198994","1958","1958","1958","","","","0","0","0"
"199684","1959","1959","1959","0","0","0","","",""
"199852","1966","1966","1966","","","","0","0","0"
"200684","1960","1960","1960","0","0","0","","",""
"200852","1976","1976","1976","","","","0","0","0"
"200919","1977","1977","1977","","","","1","1","1"
"201684","1967","1967","1967","0","0","0","","",""
"201919","1982","1982","1982","","","","0","0","0"
"202684","1978","1978","1978","1","1","1","","",""
"202919","1993","1993","1993","","","","0","0","0"
"202983","1994","1994","1994","","","","1","1","1"
"203684","1983","1983","1983","0","0","0","","",""
"203707","1984","1984","1984","0","0","0","","",""
"203850","1995","1995","1995","1","1","1","","",""
"203983","2003","2003","2003","","","","0","0","0"
"204850","2004","2004","2004","0","0","0","","",""
"204983","2008","2008","2008","","","","0","0","0"
"205850","2009","2009","2009","0","0","0","","",""
"205983","2015","2015","2015","","","","0","0","0"
"206850","2016","2016","2016","0","0","0","","",""
"206983","2021","2021","2021","","","","0","0","0"
"207850","2017","2017","2017","0","0","0","","",""
"207983","2025","2025","2025","","","","0","0","0"
"208850","2022","2022","2022","1","1","1","","",""
"208983","2030","2030","2030","","","","0","0","0"
"209074","2031","2031","2031","","","","1","1","1"
"209080","2032","2032","2032","","","","0","0","0"
"209850","2026","2026","2026","1","1","1","","",""
"210080","2042","2042","2042","","","","0","0","0"
"210140","2043","2043","2043","","","","1","1","1"
"210215","2044","2044","2044","","","","1","1","1"
"210319","2045","2045","2045","","","","3","3","3"
"210364","2046","2046","2046","","","","0","0","0"
"210453","2047","2047","2047","","","","0","0","0"
"210489","2048","2048","2048","","","","1","1","1"
"210850","2033","2033","2033","0","0","0","","",""
"210959","2049","2049","2049","0","0","0","","",""
"211041","2050","2050","2050","1","1","1","","",""
"211489","2059","2059","2059","","","","0","0","0"
"212041","2060","2060","2060","0","0","0","","",""
"212132","2061","2061","2061","1","1","1","","",""
"212313","2062","2062","2062","0","0","0","","",""
"212463","2063","2063","2063","2","2","2","","",""
"212489","2069","2069","2069","","","","0","0","0"
"213463","2070","2070","2070","0","0","0","","",""
