"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"56173","1609","1609","1609","","","","0","0","0"
"56174","1585","1585","1585","0","0","0","","",""
"56414","1637","1637","1637","","","","0","0","0"
"56466","1638","1638","1638","","","","0","0","0"
"56615","1641","1641","1641","","","","10","10","10"
"56651","1642","1642","1642","","","","10","10","10"
"56770","1618","1618","1618","10","10","10","","",""
"56864","1621","1621","1621","0","0","0","","",""
"56913","1622","1622","1622","0","0","0","","",""
"57019","1648","1648","1648","","","","10","10","10"
"57051","1624","1624","1624","10","10","10","","",""
"57268","1626","1626","1626","0","0","0","","",""
"57295","1652","1652","1652","","","","0","0","0"
"57300","1627","1627","1627","0","0","0","","",""
"57546","1654","1654","1654","0","0","0","","",""
"57627","1672","1672","1672","","","","10","10","10"
"57882","1675","1675","1675","","","","0","0","0"
"57883","1658","1658","1658","10","10","10","","",""
"58018","1661","1661","1661","10","10","10","","",""
"58389","1683","1683","1683","10","10","10","","",""
"58661","1710","1710","1710","","","","10","10","10"
"58700","1687","1687","1687","10","10","10","","",""
"58920","1714","1714","1714","","","","0","0","0"
"59295","1719","1719","1719","","","","0","0","0"
"59375","1698","1698","1698","10","10","10","","",""
"59407","1722","1722","1722","0","0","0","","",""
"59436","1741","1741","1741","","","","10","10","10"
"59461","1723","1723","1723","10","10","10","","",""
"59773","1746","1746","1746","","","","0","0","0"
"59805","1747","1747","1747","","","","0","0","0"
"60226","1753","1753","1753","","","","10","10","10"
"60271","1731","1731","1731","0","0","0","","",""
"60440","1778","1778","1778","","","","0","0","0"
"60445","1756","1756","1756","0","0","0","","",""
"60544","1757","1757","1757","10","10","10","","",""
"60810","1761","1761","1761","0","0","0","","",""
"60971","1785","1785","1785","","","","10","10","10"
"61164","1766","1766","1766","10","10","10","","",""
"61250","1789","1789","1789","","","","0","0","0"
"61492","1793","1793","1793","0","0","0","","",""
"61646","1795","1795","1795","0","0","0","","",""
"61820","1798","1798","1798","10","10","10","","",""
"61945","1799","1799","1799","0","0","0","","",""
"62025","1814","1814","1814","","","","10","10","10"
"62169","1816","1816","1816","","","","0","0","0"
"62629","1819","1819","1819","0","0","0","","",""
"62892","1844","1844","1844","","","","10","10","10"
"63051","1825","1825","1825","0","0","0","","",""
"63122","1847","1847","1847","","","","0","0","0"
"63218","1826","1826","1826","0","0","0","","",""
"63444","1829","1829","1829","10","10","10","","",""
"63714","1854","1854","1854","10","10","10","","",""
"63800","1873","1873","1873","","","","0","0","0"
"64101","1876","1876","1876","","","","10","10","10"
"64239","1878","1878","1878","","","","0","0","0"
"64325","1860","1860","1860","0","0","0","","",""
"64385","1861","1861","1861","10","10","10","","",""
"64450","1881","1881","1881","","","","10","10","10"
